Broad-Type	L_Kinase_G
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	CK1
HNSCC	EGFR
HNSCC	GRK
Liver	CDK
Urinary Bladder	RSK
Urinary Bladder	GRK
Thyroid	Axl
Others	STE20
Thyroid	RSK
Thyroid	CK1
Lung	FGFR
Lung	FGFR
Lung	FGFR
Lung	FGFR
Lung	FGFR
Liver	IRE
Sarcoma	STE20
Sarcoma	STE20
Sarcoma	STKR
Sarcoma	STKR
Sarcoma	STE20
Sarcoma	STE11
Sarcoma	DAPK
Sarcoma	BCR
Sarcoma	BCR
Sarcoma	BCR
Sarcoma	BCR
Sarcoma	GSK
Sarcoma	GSK
Thyroid	GSK
Thyroid	GSK
Thyroid	RSK
Thyroid	RSK
Thyroid	NDR
Colorectal	RAF
HNSCC	TLK
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
Liver	MLK
Thyroid	STKR
Breast	Src
Colorectal	Trk
Colorectal	Trk
Colorectal	Trk
Colorectal	Trk
Colorectal	Trk
Colorectal	Trk
Colorectal	Trk
Colorectal	Trk
Colorectal	Src
HNSCC	Src
Lung	EGFR
Lung	EGFR
Pancreatic	MAPKAPK
Lung	STKR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
Stomach	PLK
Lung	MAPK
Endometrial	EGFR
Lung	MLCK
Lung	MLCK
Lung	EGFR
Lung	RSK
Lung	ULK
Lung	EGFR
Colorectal	STKR
Lung	FAK
Lung	MAPKAPK
Lung	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
Prostate	Src
Prostate	Src
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Ovarian	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	MAPKAPK
Sarcoma	CK1
Lung	RSK
Stomach	FGFR
Stomach	FGFR
Others	NDR
Others	NDR
Colorectal	RIPK
Colorectal	CK1
HNSCC	FGFR
Colorectal	Eph
Colorectal	Eph
Urinary Bladder	DMPK
Urinary Bladder	PIKK
Thyroid	MAST
Lung	PAN3
Sarcoma	DAPK
Lung	PKG
Lung	CK1
Lung	CK1
Lung	Alpha
HNSCC	WNK
Breast	CDK
Breast	VRK
Breast	VRK
Breast	VRK
Breast	VRK
HNSCC	MAPKAPK
Lung	EGFR
Lung	EGFR
Brain	EGFR
HNSCC	EGFR
HNSCC	FGFR
Lung	FGFR
Lung	FGFR
Lung	FGFR
Lung	FGFR
Lung	FGFR
Sarcoma	ULK
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	DMPK
HNSCC	DMPK
Endometrial	CK1
Endometrial	CAMKL
Endometrial	Sev
Sarcoma	Sev
Lung	InsR
Others	VRK
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FAK
HNSCC	FAK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	CDK
HNSCC	MAPKAPK
HNSCC	Ret
Colorectal	NAK
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
Lung	MAPK
Lung	CDKL
Stomach	Eph
Colorectal	IRE
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
HNSCC	FGFR
Ovarian	InsR
Colorectal	Eph
Colorectal	Eph
Stomach	PAN3
HNSCC	STE20
Lung	STE20
Lung	Src
Lung	Src
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Sarcoma	Src
Others	EGFR
Thyroid	RAF
Ovarian	FGFR
Ovarian	FGFR
Lung	FGFR
Lung	FGFR
Lung	FGFR
Lung	FGFR
Ovarian	NAK
Ovarian	STKR
Ovarian	MAPKAPK
HNSCC	Src
Lung	CK1
Sarcoma	PIKK
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
Liver	BAZ
Liver	NAK
Liver	EGFR
Thyroid	MLK
Ovarian	FGFR
Ovarian	FGFR
HNSCC	RSK
HNSCC	RSK
Lung	CAMKL
Lung	CAMKL
Lung	CAMKL
Thyroid	CK1
Liver	WNK
Ovarian	STKR
Thyroid	Ret
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Liver	FGFR
Lung	CLK
Lung	CLK
Lung	GRK
Thyroid	FGFR
Thyroid	FGFR
Colorectal	EGFR
Lung	Alpha
Thyroid	STE20
Thyroid	CAMK1
Breast	EGFR
Lung	NKF3
Lung	NKF3
Sarcoma	Bud32
Sarcoma	PIKK
Breast	CK1
Others	CK1
Others	CK1
Others	CK1
Lung	CK1
Prostate	Akt
Colorectal	PIKK
Colorectal	PIKK
Colorectal	RSK
Colorectal	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
Endometrial	Sev
Endometrial	Sev
Endometrial	Sev
Endometrial	Sev
Endometrial	Sev
Sarcoma	FGFR
Breast	DMPK
Breast	CAMKL
Liver	CAMKL
Breast	Met
Breast	Met
Stomach	Ret
Stomach	Ret
Stomach	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	PKC
Colorectal	Sev
Colorectal	Sev
Colorectal	Sev
Colorectal	Sev
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	Sev
Colorectal	Sev
Colorectal	Sev
Colorectal	Sev
Colorectal	Sev
Colorectal	Sev
Colorectal	Sev
Colorectal	Sev
Colorectal	ULK
Colorectal	PKC
Ovarian	Jak
Ovarian	JakB
Ovarian	Jak
Ovarian	JakB
Lung	RSK
Lung	RSKb
Lung	RSK
Lung	RSKb
Lung	RSK
Lung	RSKb
Lung	RSK
Lung	RSKb
Stomach	RSK
Stomach	RSKb
Stomach	RSK
Stomach	RSKb
Stomach	RSK
Stomach	RSKb
Stomach	RSK
Stomach	RSKb
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
HNSCC	MLCK
Lung	MLCK
HNSCC	Trio
HNSCC	Trio
HNSCC	Trio
HNSCC	Trio
Sarcoma	Ryk
Liver	VRK
Lung	VRK
HNSCC	STE20
Lung	NAK
Sarcoma	DCAMKL
Sarcoma	Fer
Prostate	PKG
Prostate	PKG
Liver	CDK
Liver	LISK
Breast	CDK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
Colorectal	STE20
Colorectal	Ack
Colorectal	STE20
HNSCC	Ret
HNSCC	CDK
Ovarian	Sev
Ovarian	Sev
Ovarian	Sev
Ovarian	Sev
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	Ret
Breast	Ret
Breast	Ret
Colorectal	Ret
Colorectal	Ret
Colorectal	Ret
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Thyroid	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Stomach	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
HNSCC	NDR
HNSCC	NDR
HNSCC	CDK
HNSCC	STE20
HNSCC	GRK
Urinary Bladder	STE20
Breast	Sev
Breast	Sev
Breast	Sev
Breast	Sev
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
HNSCC	ALK
Colorectal	ALK
Colorectal	ALK
Pancreatic	ALK
Pancreatic	ALK
Pancreatic	ALK
Pancreatic	ALK
Pancreatic	ALK
Pancreatic	ALK
Pancreatic	Ret
Pancreatic	Ret
Pancreatic	Ret
Pancreatic	Ret
Pancreatic	Ret
Pancreatic	Ret
Pancreatic	Ret
Pancreatic	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Eph
Lung	PKC
Lung	PKC
Lung	NEK
Liver	STE11
Lung	Akt
Sarcoma	MAPK
Sarcoma	STE20
Sarcoma	CDK
Sarcoma	CDK
Sarcoma	CDK
Sarcoma	CDK
Sarcoma	DAPK
Sarcoma	CDK
Sarcoma	CAMKL
Sarcoma	CAMKL
Thyroid	CAMKL
Thyroid	CAMKL
Thyroid	Akt
Thyroid	Akt
HNSCC	CAMKL
Lung	GSK
Lung	GSK
Thyroid	PKC
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
Stomach	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Thyroid	Trk
Urinary Bladder	Trk
Urinary Bladder	Trk
Urinary Bladder	Trk
Urinary Bladder	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Prostate	Ret
Pancreatic	Ret
Pancreatic	Ret
Pancreatic	Ret
Pancreatic	Ret
Pancreatic	Ret
Pancreatic	MLCK
Pancreatic	MLCK
HNSCC	CDKL
HNSCC	CAMK2
Others	STE7
Endometrial	ULK
Thyroid	Aur
Lung	EGFR
Lung	IRE
Colorectal	CAMKL
Breast	DYRK
Others	RSK
Others	RSKb
Lung	RSK
Lung	RSKb
Lung	RSK
Lung	RSKb
Lung	RSK
Lung	RSKb
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
Urinary Bladder	ALK
HNSCC	WNK
Liver	VRK
Liver	VRK
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
Stomach	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
Prostate	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
Stomach	Trk
Stomach	Trk
Stomach	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Lung	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Pancreatic	Trk
Others	Trk
Others	Trk
Others	Trk
Thyroid	Trk
Thyroid	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Lung	Trk
Lung	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Thyroid	Trk
Endometrial	Trk
Endometrial	Trk
Endometrial	Trk
Endometrial	Trk
Endometrial	Trk
Endometrial	Trk
Endometrial	Trk
Endometrial	Trk
Endometrial	Trk
Endometrial	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Others	Trk
Liver	Trk
Liver	Trk
Liver	Trk
Liver	Trk
Liver	Trk
Liver	Trk
Liver	VRK
Liver	VRK
Liver	Ret
Liver	Ret
Liver	Ret
Liver	Ret
Liver	Ret
Stomach	Ret
Stomach	Ret
Stomach	Ret
Stomach	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	STE20
Lung	BRD
HNSCC	Eph
Sarcoma	CAMKL
Others	CDK
Others	CDK
Others	CDK
Colorectal	CDK
Colorectal	CDK
HNSCC	CDK
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
Lung	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
Lung	Ret
Others	DAPK
HNSCC	CAMKL
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
Lung	CAMKL
Lung	PAN3
Lung	PAN3
HNSCC	BRD
HNSCC	CAMK2
HNSCC	STE20
Others	CAMK2
Others	CAMK2
Endometrial	IKK
Lung	Aur
Others	PKC
Lung	PKC
HNSCC	NAK
HNSCC	CDK
HNSCC	ALK
HNSCC	ALK
Thyroid	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Ovarian	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	ALK
Breast	CDK
HNSCC	SRPK
Liver	CDK
Lung	Met
HNSCC	ULK
Endometrial	Sev
Sarcoma	Sev
Sarcoma	Sev
Sarcoma	Sev
Sarcoma	Sev
Sarcoma	Sev
Sarcoma	Sev
Sarcoma	Sev
Sarcoma	Sev
Sarcoma	Sev
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
HNSCC	SRPK
HNSCC	SRPK
